segmentnr	original	stemmed
BO_K12_D0686-2_H0689-2:97b-19	dre chab la lan bdun bzlas brjod byas pas so //	dre chab la lan bdun bzlas rjod byed ba so 
BO_K12_D0686-2_H0689-2:97b-20	aom padma ka pa tse /	aom padma ka ba tse 
BO_K12_D0686-2_H0689-2:97b-21	dri dha bandha h'um dzva la sv'ah'a /	dri dha bandha hum dzva la svaha 
BO_K12_D0686-2_H0689-2:97b-22	go cha'i sngags te /	go cha sngags te 
BO_K12_D0686-2_H0689-2:97b-23	lan nyi shu rtsa gcig bzlas brjod byas pas so //	lan nyi shu rtsa gcig bzlas rjod byed ba so 
BO_K12_D0686-2_H0689-2:97b-24	aom badzra aa dhishth'a na padme h'um/	aom badzra aa dhishtha na padme 
BO_K12_D0686-2_H0689-2:97b-25	byin gyis brlab pa'i sngags so //	byin gyis brlab ba sngags so 
BO_K12_D0686-2_H0689-2:97b-26	aom dzva la padme dha ra dha ra h'um/	aom dzva la padme dha ra dha ra 
BO_K12_D0686-2_H0689-2:97b-27	sa'i sngags so //	sa sngags so 
BO_K12_D0686-2_H0689-2:97b-28	aom padma aa shra ya /	aom padma aa shra ya 
BO_K12_D0686-2_H0689-2:97b-29	ru ha tsa la tsa la h'um/	ru ha tsa la tsa la 
BO_K12_D0686-2_H0689-2:97b-30	gdan gyi sngags so //	gdan gyi sngags so 
BO_K12_D0686-2_H0689-2:97b-31	aom di bya padme mam/	aom di byed padme 
BO_K12_D0686-2_H0689-2:97b-32	me tog gi sngags so //	me tog gi sngags so 
BO_K12_D0686-2_H0689-2:98a-0	aom padma aa mo gaha sam bar ni @98a *//	aom padma aa mo gaha sam ba ni 
BO_K12_D0686-2_H0689-2:98a-1	sv'ah'a; bdug spos kyi sngags so //	svaha; bdug spros kyi sngags so 
BO_K12_D0686-2_H0689-2:98a-2	aom padma gandha a'i shva ri h'um/	aom padma gandha a shva ri 
BO_K12_D0686-2_H0689-2:98a-3	byug spos kyi sngags so //	byug spros kyi sngags so 
BO_K12_D0686-2_H0689-2:98a-4	aom padma pra karni dha ra ni sa me sv'ah'a /	aom padma pra karni dha ra ni sa me svaha 
BO_K12_D0686-2_H0689-2:98a-5	'bras yos dang me tog dgram pa'i sngags so //	bras yos dang me tog grem ba sngags so 
BO_K12_D0686-2_H0689-2:98a-6	aom padma dza le su gandha ba ti h'um/	aom padma dza le su gandha ba ti 
BO_K12_D0686-2_H0689-2:98a-7	mchod yon dbul ba'i sngags so //	mchod yon bul ba sngags so 
BO_K12_D0686-2_H0689-2:98a-8	aom shu kla ba re ra sa ya shuddhe h'um/	aom shu kla ba re ra sa ya shuddhe 
BO_K12_D0686-2_H0689-2:98a-9	lha bshos kyi sngags so //	lha bshos kyi sngags so 
BO_K12_D0686-2_H0689-2:98a-10	aom su ru su ru kumbha ba ti sv'ah'a /	aom su ru su ru kumbha ba ti svaha 
BO_K12_D0686-2_H0689-2:98a-11	gtor ma'i sngags so //	thor ma sngags so 
BO_K12_D0686-2_H0689-2:98a-12	aom ma h'a padma aa shri ni s'a dha ya h'um/	aom ma ha padma aa shri ni sa dha ya 
BO_K12_D0686-2_H0689-2:98a-13	gtor ma zar gzhug pa'i sngags so //	thor ma zar jug ba sngags so 
BO_K12_D0686-2_H0689-2:98a-14	aom pha la bi shuddhe pra ba ra h'um/	aom pha la bi shuddhe pra ba ra 
BO_K12_D0686-2_H0689-2:98a-15	'bras bu'i sngags so //	bras bu sngags so 
BO_K12_D0686-2_H0689-2:98a-16	aom bra ba ra pushpe dza ya sv'ah'a /	aom bra ba ra pushpe dza ya svaha 
BO_K12_D0686-2_H0689-2:98a-17	phreng ba'i sngags so //	phreng ba sngags so 
BO_K12_D0686-2_H0689-2:98a-18	aom dzva la dzva la ya ra sa ra sa gri ni h'um/	aom dzva la dzva la ya ra sa ra sa gri ni 
BO_K12_D0686-2_H0689-2:98a-19	gtor ma bcos pa'i sngags so //	thor ma chos ba sngags so 
BO_K12_D0686-2_H0689-2:98a-20	aom padma d'i pa ya dzva la h'um/	aom padma d ba ya dzva la 
BO_K12_D0686-2_H0689-2:98a-21	mar me'i sngags so //	mar me sngags so 
BO_K12_D0686-2_H0689-2:98a-22	aom sa ma padma bhu ba ne shu sa ra h'um/	aom sa ma padma bhu ba ne shu sa ra 
BO_K12_D0686-2_H0689-2:98a-23	'jug pa'i sngags so //	jug ba sngags so 
BO_K12_D0686-2_H0689-2:98a-24	aom padmo shn'i sha aa mo gha mu ni h'um/	aom padmo shn sha aa mo gha mu ni 
BO_K12_D0686-2_H0689-2:98a-25	phyag bya ba'i sngags so //	phyag byed ba sngags so 
BO_K12_D0686-2_H0689-2:98a-26	aom tsa kra manda le sa manta padme h'um/	aom tsa kra manda le sa manta padme 
BO_K12_D0686-2_H0689-2:98a-27	bskor ba'i sngags so //	skor ba sngags so 
BO_K12_D0686-2_H0689-2:98a-28	aom sa manta pra kirna padme sam bha ra h'um/	aom sa manta pra kirna padme sam bha ra 
BO_K12_D0686-2_H0689-2:98a-29	me tog dor ba'i sngags so //	me tog dor ba sngags so 
BO_K12_D0686-2_H0689-2:98a-30	aom padma sa ma ya aushn'a shi ma h'a aa mo gha sa ma ya h'um/	aom padma sa ma ya aushna chi ma ha aa mo gha sa ma ya 
BO_K12_D0686-2_H0689-2:98a-31	dam tshig gi sngags so //	dam tshig gi sngags so 
BO_K12_D0686-2_H0689-2:98a-32	aom sa manta s'a dha ra ni dhar padme h'um phat/	aom sa manta sa dha ra ni dhar padme hum 
BO_K12_D0686-2_H0689-2:98a-33	skyil mo krung gi sngags so //	skyil mo krung gi sngags so 
