segmentnr	original	folio	stemmed
BO_K08_D0056_H0056:114a-23	chos thams cad gnyis su med par yang dag pa ji lta ba bzhin du ye shes mthong ba ni /	114a	chos thams cad gnyis su med ba yang dag ba ji lta ba bzhin du ye shes mthong ba ni 
BO_K08_D0056_H0056:114a-24	nges par 'byung ba'i lam ste /	114a	nges ba byung ba lam ste 
BO_K08_D0056_H0056:114a-25	de bzhin gshegs pa sems can rnams la nges par 'byung ba'i lam yang dag par rab tu ston to //	114a	de bzhin gshegs ba sems can rnams la nges ba byung ba lam yang dag ba rab tu ston to 
BO_K08_D0056_H0056:114a-26	de bzhin gshegs pa'i mi 'jigs pa de yang 'khor thams cad shes par byed pa /	114a	de bzhin gshegs ba mi jigs ba de yang khor thams cad shes ba byed ba 
BO_K08_D0056_H0056:114b-0	'khor thams cad @114b mgu bar byed pa /	114b	khor thams cad mgu ba byed ba 
BO_K08_D0056_H0056:114b-1	'khor thams cad kyi lus sim par byed pa /	114b	khor thams cad kyi lus sim ba byed ba 
BO_K08_D0056_H0056:114b-2	'khor thams cad kyi sems tshim pa skyed pa /	114b	khor thams cad kyi sems tshim ba skyed ba 
BO_K08_D0056_H0056:114b-3	'khor thams cad dga' ba dang / rab tu dga' ba dang / dad pa skyed pa /	114b	khor thams cad dga ba dang rab tu dga ba dang dad ba skyed ba 
BO_K08_D0056_H0056:114b-4	snying rje chen pos sbyor ba /	114b	snying rje chen pos sbyor ba 
BO_K08_D0056_H0056:114b-5	de bzhin nyid kyis mnyam pa /	114b	de bzhin nyid kyis mnyam ba 
BO_K08_D0056_H0056:114b-6	de kho na nyid /	114b	de kho na nyid 
BO_K08_D0056_H0056:114b-7	de bzhin nyid /	114b	de bzhin nyid 
BO_K08_D0056_H0056:114b-8	gzhan ma yin pa nyid /	114b	gzhan ma yin ba nyid 
BO_K08_D0056_H0056:114b-9	mi 'gyur ba nyid /	114b	mi gyur ba nyid 
BO_K08_D0056_H0056:114b-10	mi 'khrug pa nyid /	114b	mi khrug ba nyid 
BO_K08_D0056_H0056:114b-11	'byung ba med pa nyid /	114b	byung ba med ba nyid 
BO_K08_D0056_H0056:114b-12	'jig pa med pa nyid /	114b	jig ba med ba nyid 
BO_K08_D0056_H0056:114b-13	rtsod pa med pa nyid de /	114b	rtsod ba med ba nyid de 
BO_K08_D0056_H0056:114b-14	de bzhin gshegs pa'i mi 'jigs pa la rtsod pa gang yang med do //	114b	de bzhin gshegs ba mi jigs ba la rtsod ba gang yang med do 
BO_K08_D0056_H0056:114b-15	de bzhin gshegs pa'i mi 'jigs pa ni /	114b	de bzhin gshegs ba mi jigs ba ni 
BO_K08_D0056_H0056:114b-16	rtsod pa med pa /	114b	rtsod ba med ba 
BO_K08_D0056_H0056:114b-17	'thab pa med pa'o //	114b	thab ba med ba 
BO_K08_D0056_H0056:114b-18	de bzhin nyid dang mnyam zhing chos kyi dbyings ngos mnyam pa /	114b	de bzhin nyid dang mnyam zhing chos kyi dbyings ngos mnyam ba 
